length,width,curb-weight,engine-size,horsepower,wheel-base,bore,city-mpg,highway-mpg,price,drive-wheels_fwd,drive-wheels_rwd
0.8111484863046613,0.8902777777777777,2548,130,111.0,88.6,3.47,21,27,13495.0,False,True
0.8111484863046613,0.8902777777777777,2548,130,111.0,88.6,3.47,21,27,16500.0,False,True
0.8226814031715521,0.9097222222222222,2823,152,154.0,94.5,2.68,19,26,16500.0,False,True
0.8486304661220567,0.9194444444444444,2337,109,102.0,99.8,3.19,24,30,13950.0,True,False
0.8486304661220567,0.9222222222222224,2824,136,115.0,99.4,3.19,18,22,17450.0,False,False
0.8519942335415667,0.9208333333333332,2507,136,110.0,99.8,3.19,19,25,15250.0,True,False
0.9259971167707832,0.9916666666666668,2844,136,110.0,105.8,3.19,19,25,17710.0,True,False
0.9259971167707832,0.9916666666666668,2954,136,110.0,105.8,3.19,19,25,18920.0,True,False
0.9259971167707832,0.9916666666666668,3086,131,140.0,105.8,3.13,17,20,23875.0,True,False
0.8495915425276309,0.8999999999999999,2395,108,101.0,101.2,3.5,23,29,16430.0,False,True
0.8495915425276309,0.8999999999999999,2395,108,101.0,101.2,3.5,23,29,16925.0,False,True
0.8495915425276309,0.8999999999999999,2710,164,121.0,101.2,3.31,21,28,20970.0,False,True
0.8495915425276309,0.8999999999999999,2765,164,121.0,101.2,3.31,21,28,21105.0,False,True
0.9082172032676598,0.9291666666666668,3055,164,121.0,103.5,3.31,20,25,24565.0,False,True
0.9082172032676598,0.9291666666666668,3230,209,182.0,103.5,3.62,16,22,30760.0,False,True
0.9312830370014415,0.9430555555555556,3380,209,182.0,103.5,3.62,16,22,41315.0,False,True
0.9466602594906296,0.9847222222222224,3505,209,182.0,110.0,3.62,15,20,36880.0,False,True
0.6780394041326285,0.8374999999999999,1488,61,48.0,88.4,2.91,47,53,5151.0,True,False
0.7491590581451226,0.8833333333333333,1874,90,70.0,94.5,3.03,38,43,6295.0,True,False
0.7630946660259491,0.8833333333333333,1909,90,70.0,94.5,3.03,38,43,6575.0,True,False
0.7558865929841423,0.8861111111111111,1876,90,68.0,93.7,2.97,37,41,5572.0,True,False
0.7558865929841423,0.8861111111111111,1876,90,68.0,93.7,2.97,31,38,6377.0,True,False
0.7558865929841423,0.8861111111111111,2128,98,102.0,93.7,3.03,24,30,7957.0,True,False
0.7558865929841423,0.8861111111111111,1967,90,68.0,93.7,2.97,31,38,6229.0,True,False
0.7558865929841423,0.8861111111111111,1989,90,68.0,93.7,2.97,31,38,6692.0,True,False
0.7558865929841423,0.8861111111111111,1989,90,68.0,93.7,2.97,31,38,7609.0,True,False
0.7558865929841423,0.8861111111111111,2191,98,102.0,93.7,3.03,24,30,8558.0,True,False
0.8390197020663143,0.8972222222222221,2535,122,88.0,103.3,3.34,24,30,8921.0,True,False
0.8322921672272945,0.9208333333333332,2811,156,145.0,95.9,3.6,19,24,12964.0,True,False
0.6948582412301778,0.8875,1713,92,58.0,86.6,2.91,49,54,6479.0,True,False
0.6948582412301778,0.8875,1819,92,76.0,86.6,2.91,31,38,6855.0,True,False
0.7208073041806824,0.8888888888888888,1837,79,60.0,93.7,2.91,38,42,5399.0,True,False
0.7208073041806824,0.8888888888888888,1940,92,76.0,93.7,2.91,30,34,6529.0,True,False
0.7208073041806824,0.8888888888888888,1956,92,76.0,93.7,2.91,30,34,7129.0,True,False
0.7851994233541567,0.8888888888888888,2010,92,76.0,96.5,2.91,30,34,7295.0,True,False
0.7549255165785679,0.8875,2024,92,76.0,96.5,2.92,30,34,7295.0,True,False
0.8049014896684287,0.9055555555555556,2236,110,86.0,96.5,3.15,27,33,7895.0,True,False
0.8049014896684287,0.9055555555555556,2289,110,86.0,96.5,3.15,27,33,9095.0,True,False
0.8428640076886112,0.9055555555555556,2304,110,86.0,96.5,3.15,27,33,8845.0,True,False
